FairShip verification: our retina/NLL trackers (4 targets) vs FairShip, on data/mc.
Three regimes (hit source varies, all else fixed): our StereoTracking sim material OFF, our sim
material ON, and FairShip's OWN digitized daughter hits (real spectrometer field map + geometry
calibrated from the MC hit cloud).
Columns: R=retina N=NLL | Tu=tubes(V1, wire centre) TD=TDC(V2, raw readout, network proxy)
         Dr=drift(V3, smeared r_drift) Hi=hits(V4, exact x,y, sanity floor).  +FairShip = its reco.
Cuts: OUR trackers use OUR cuts (>=25 hits/track, >=3 stations, chi2/Ndf<4, DoCA<=2cm, from our
      fit); the FairShip column uses FAIRSHIP cuts (events FairShip reconstructed). 'acceptance %'
      = fraction passing; all other rows are on each column's accepted subset.
Table 1 rows: dp/|p| (median/RMS %); p_x/y/z & vertex_x/y/z (median|err|, RMSE; GeV/cm); doca cm.
Table 2 rows: per-component R^2 = 1 - MSE/Var(true) (1=perfect, 0=predict-the-mean, <0=worse).
Fit on the first 16384 events. Regimes done: 3/3 (COMPLETE).
Network columns (this report): NN = the trained regressor under OUR cuts (it has no per-track fit,
  so it borrows the nll-tdc tracker's accepted subset); NN-FS = the same network under FAIRSHIP cuts.
  The network is fed its NATIVE realistic fired-straw hits (re-simulated for the sim regimes; FairShip's
  own digitized hits for the FairShip regime -- a domain shift, so NN/NN-FS there are an OOD estimate).

====================================================================================================
# MASTER TABLE 1 -- physical units (cm, GeV)
====================================================================================================

## OUR SIM, material = OFF (clean daughters)
| metric        |    R-Tu |    R-TD |   R-Dr |    R-Hi |   N-Tu |    N-TD |    N-Dr |    N-Hi |      NN |   FairShip |   NN-FS |
| doca cm med   |   0.956 |   0.183 |   0.177 |   0.091 |   0.899 |   0.161 |   0.158 |   0.088 |     n/a |        n/a |     n/a |
| doca cm RMSE  |    1.13 |   0.371 |   0.359 |    0.24 |   1.101 |    0.35 |   0.342 |   0.267 |     n/a |        n/a |     n/a |

## FAIRSHIP'S OWN HITS (real field map, calibrated geometry)
| metric        |    R-Tu |   R-TD |   R-Dr |   R-Hi |    N-Tu |   N-TD |   N-Dr |   N-Hi |      NN |   FairShip |   NN-FS |
|---------------|---------|--------|--------|--------|---------|--------|--------|--------|---------|------------|---------|
| acceptance %  |  12.494 | 24.652 | 28.455 | 32.947 |  15.753 | 29.083 | 32.184 | 37.061 |  29.083 |     20.282 |  20.282 |
| dp/|p| med%   |   6.502 |  0.732 |  0.684 |  0.631 |   6.445 |  0.773 |  0.701 |   0.64 |  32.640 |      0.683 |  36.655 |
| dp/|p| RMS%   |  55.957 |   1.24 |  1.218 |  1.196 |  51.866 |  1.423 |  1.221 |  1.288 |    1343 |      4.407 |    1066 |
| vertex_x med  |   2.821 |  0.196 |  0.191 |  0.167 |    2.43 |  0.163 |  0.162 |  0.143 |  78.162 |      0.130 |  74.907 |
| vertex_x RMSE |   6.096 |  0.458 |  0.455 |  0.465 |   5.675 |  0.423 |  0.427 |  0.444 | 196.664 |      3.339 | 197.644 |
| vertex_y med  |   0.884 |  0.289 |  0.286 |  0.271 |   0.763 |  0.233 |  0.239 |  0.233 |  94.602 |      0.063 |  93.529 |
| vertex_y RMSE |   2.942 |  0.748 |  0.736 |   0.75 |   2.909 |  0.699 |  0.694 |  0.716 | 393.425 |      1.350 | 295.880 |
| vertex_z med  |  64.134 | 37.278 | 35.907 |   32.5 |  54.138 | 30.655 | 29.331 |  26.77 | 875.456 |     25.837 | 754.993 |
| vertex_z RMSE | 252.257 | 67.453 | 65.687 | 64.964 | 312.955 | 62.907 | 61.737 | 61.883 |    3207 |    181.841 |    2894 |
| p_x med       |   0.044 |  0.003 |  0.003 |  0.003 |   0.038 |  0.004 |  0.003 |  0.003 |   0.404 |      0.003 |   0.427 |
| p_x RMSE      |   0.566 |  0.008 |  0.008 |  0.007 |   0.691 |  0.015 |  0.015 |  0.013 |   1.168 |      0.041 |   1.035 |
| p_y med       |   0.021 |  0.013 |  0.013 |  0.013 |   0.021 |  0.013 |  0.013 |  0.013 |   0.590 |      0.002 |   0.584 |
| p_y RMSE      |   0.355 |  0.015 |   0.02 |  0.019 |   0.264 |  0.016 |   0.02 |  0.019 |   3.240 |      0.034 |   2.295 |
| p_z med       |   1.293 |  0.153 |  0.144 |  0.121 |   1.263 |  0.174 |  0.153 |  0.129 |   7.833 |      0.129 |   7.746 |
| p_z RMSE      |  34.014 |  0.677 |  0.694 |  0.512 |   41.76 |  0.877 |   0.67 |  0.587 | 142.471 |      0.986 | 109.981 |
| doca cm med   |   0.947 |  0.711 |   0.71 |   0.69 |   0.911 |  0.645 |  0.638 |  0.644 |     n/a |        n/a |     n/a |
| doca cm RMSE  |   1.128 |  0.985 |  0.991 |  0.972 |   1.093 |   0.95 |  0.945 |  0.947 |     n/a |        n/a |     n/a |


====================================================================================================
# MASTER TABLE 2 -- R^2 (1=perfect, 0=mean)
====================================================================================================

## OUR SIM, material = OFF (clean daughters)
| metric       |   R-Tu |   R-TD |   R-Dr |   R-Hi |   N-Tu |   N-TD |   N-Dr |   N-Hi |     NN |   FairShip |   NN-FS |
|--------------|--------|--------|--------|--------|--------|--------|--------|--------|--------|------------|---------|
| acceptance % | 13.959 | 43.542 | 48.096 | 51.837 | 17.542 | 49.115 | 53.387 | 57.336 | 49.115 |     20.282 |  20.282 |
| vertex_x R2  |  0.977 |  0.988 |  0.989 |   0.99 |  0.981 |  0.991 |   0.99 |  0.991 |  0.905 |      0.996 |     0.9 |
| vertex_y R2  |  0.994 |  0.994 |  0.994 |  0.995 |  0.992 |  0.995 |  0.994 |  0.995 |  0.965 |          1 |   0.968 |
| vertex_z R2  |  0.933 |  0.986 |  0.987 |  0.989 |  0.959 |  0.988 |  0.989 |   0.99 |  0.744 |      0.982 |   0.763 |
| p_x R2       | -3.792 | -1.462 |  -1.25 | -1.111 |  0.125 |  -1.05 | -0.895 | -0.792 |  0.455 |       0.99 |   0.466 |
| p_y R2       |  -0.91 |  0.801 |   0.82 |   0.83 |  0.417 |  0.821 |  0.836 |  0.844 |  0.586 |      0.995 |   0.583 |
| p_z R2       | -4.569 |  0.709 |  0.737 |  0.758 |  -1.82 |  0.761 |  0.781 |  0.801 |  0.523 |      0.998 |   0.551 |

## OUR SIM, material = ON (secondaries as noise)
| metric       |   R-Tu |   R-TD |   R-Dr |   R-Hi |   N-Tu |   N-TD |   N-Dr |   N-Hi |     NN |   FairShip |   NN-FS |
|--------------|--------|--------|--------|--------|--------|--------|--------|--------|--------|------------|---------|
| acceptance % | 13.483 | 41.284 |  47.29 |  51.19 |  16.73 | 46.216 | 51.666 | 55.957 | 46.216 |     20.282 |  20.282 |
| vertex_x R2  |  0.976 |  0.992 |  0.991 |  0.992 |  0.987 |  0.992 |  0.992 |  0.993 |  0.897 |      0.996 |   0.868 |
| vertex_y R2  |  0.994 |  0.996 |  0.995 |  0.997 |  0.995 |  0.996 |  0.995 |  0.996 |  0.958 |          1 |   0.957 |
| vertex_z R2  |  0.927 |  0.988 |  0.985 |  0.989 |  0.956 |  0.991 |  0.988 |   0.99 |  0.718 |      0.982 |   0.714 |
| p_x R2       | -3.312 | -1.623 | -1.277 | -1.134 | -0.018 | -1.194 | -0.967 | -0.841 |  0.449 |       0.99 |   0.423 |
| p_y R2       | -0.772 |  0.791 |  0.818 |  0.828 |  0.349 |   0.81 |   0.83 |  0.839 |  0.575 |      0.995 |   0.542 |
| p_z R2       | -4.259 |  0.687 |  0.731 |  0.759 | -2.817 |  0.746 |  0.772 |  0.794 |  0.514 |      0.998 |   0.522 |

## FAIRSHIP'S OWN HITS (real field map, calibrated geometry)
| metric       |   R-Tu |   R-TD |   R-Dr |   R-Hi |   N-Tu |   N-TD |   N-Dr |   N-Hi |      NN |   FairShip |   NN-FS |
|--------------|--------|--------|--------|--------|--------|--------|--------|--------|---------|------------|---------|
| acceptance % | 12.494 | 24.652 | 28.455 | 32.947 | 15.753 | 29.083 | 32.184 | 37.061 |  29.083 |     20.282 |  20.282 |
| vertex_x R2  |   0.99 |      1 |      1 |      1 |  0.992 |      1 |      1 |      1 | -10.345 |      0.996 | -11.465 |
| vertex_y R2  |  0.999 |      1 |      1 |      1 |  0.999 |      1 |      1 |      1 | -23.597 |          1 | -14.115 |
| vertex_z R2  |  0.959 |  0.997 |  0.997 |  0.997 |  0.932 |  0.998 |  0.998 |  0.998 |  -5.197 |      0.982 |  -3.632 |
| p_x R2       | -0.725 |      1 |      1 |      1 |  -1.51 |  0.999 |  0.999 |  0.999 |  -7.019 |       0.99 |  -5.488 |
| p_y R2       |  0.366 |  0.999 |  0.998 |  0.999 |   0.67 |  0.999 |  0.998 |  0.998 | -39.282 |      0.995 | -22.115 |
| p_z R2       | -1.484 |  0.999 |  0.999 |  0.999 | -2.372 |  0.999 |  0.999 |  0.999 | -37.358 |      0.998 | -23.545 |
