FairShip verification: our retina/NLL trackers (4 targets) vs FairShip, on data/mc.
Three regimes (hit source varies, all else fixed): our StereoTracking sim material OFF, our sim
material ON, and FairShip's OWN digitized daughter hits (real spectrometer field map + geometry
calibrated from the MC hit cloud).
Columns: R=retina N=NLL | Tu=tubes(V1, wire centre) TD=TDC(V2, raw readout, network proxy)
         Dr=drift(V3, smeared r_drift) Hi=hits(V4, exact x,y, sanity floor).  +FairShip = its reco.
Cuts: OUR trackers use OUR cuts (>=25 hits/track, >=3 stations, chi2/Ndf<4, DoCA<=2cm, from our
      fit); the FairShip column uses FAIRSHIP cuts (events FairShip reconstructed). 'acceptance %'
      = fraction passing; all other rows are on each column's accepted subset.
Table 1 rows: dp/|p| (median/RMS %); p_x/y/z & vertex_x/y/z (median|err|, RMSE; GeV/cm); doca cm.
Table 2 rows: per-component R^2 = 1 - MSE/Var(true) (1=perfect, 0=predict-the-mean, <0=worse).
Fit on the first 16384 events.

====================================================================================================
# MASTER TABLE 1 -- physical units (cm, GeV)
====================================================================================================

## OUR SIM, material = OFF (clean daughters)
| metric        |    R-Tu |    R-TD |   R-Dr |    R-Hi |   N-Tu |    N-TD |    N-Dr |    N-Hi |   FairShip |
| dp/|p| med%   |   6.502 |  0.732 |  0.684 |  0.631 |   6.445 |  0.773 |  0.701 |   0.64 |      0.683 |
| dp/|p| RMS%   |  55.957 |   1.24 |  1.218 |  1.196 |  51.866 |  1.423 |  1.221 |  1.288 |      4.407 |
| vertex_x med  |   2.821 |  0.196 |  0.191 |  0.167 |    2.43 |  0.163 |  0.162 |  0.143 |      0.130 |
| vertex_x RMSE |   6.096 |  0.458 |  0.455 |  0.465 |   5.675 |  0.423 |  0.427 |  0.444 |      3.339 |
| vertex_y med  |   0.884 |  0.289 |  0.286 |  0.271 |   0.763 |  0.233 |  0.239 |  0.233 |      0.063 |
| vertex_y RMSE |   2.942 |  0.748 |  0.736 |   0.75 |   2.909 |  0.699 |  0.694 |  0.716 |      1.350 |
| vertex_z med  |  64.134 | 37.278 | 35.907 |   32.5 |  54.138 | 30.655 | 29.331 |  26.77 |     25.837 |
| vertex_z RMSE | 252.257 | 67.453 | 65.687 | 64.964 | 312.955 | 62.907 | 61.737 | 61.883 |    181.841 |
| p_x med       |   0.044 |  0.003 |  0.003 |  0.003 |   0.038 |  0.004 |  0.003 |  0.003 |      0.003 |
| p_x RMSE      |   0.566 |  0.008 |  0.008 |  0.007 |   0.691 |  0.015 |  0.015 |  0.013 |      0.041 |
| p_y med       |   0.021 |  0.013 |  0.013 |  0.013 |   0.021 |  0.013 |  0.013 |  0.013 |      0.002 |
| p_y RMSE      |   0.355 |  0.015 |   0.02 |  0.019 |   0.264 |  0.016 |   0.02 |  0.019 |      0.034 |
| p_z med       |   1.293 |  0.153 |  0.144 |  0.121 |   1.263 |  0.174 |  0.153 |  0.129 |      0.129 |
| p_z RMSE      |  34.014 |  0.677 |  0.694 |  0.512 |   41.76 |  0.877 |   0.67 |  0.587 |      0.986 |
| doca cm med   |   0.947 |  0.711 |   0.71 |   0.69 |   0.911 |  0.645 |  0.638 |  0.644 |        n/a |
| doca cm RMSE  |   1.128 |  0.985 |  0.991 |  0.972 |   1.093 |   0.95 |  0.945 |  0.947 |        n/a |


====================================================================================================
# MASTER TABLE 2 -- R^2 (1=perfect, 0=mean)
====================================================================================================

## OUR SIM, material = OFF (clean daughters)
| metric       |   R-Tu |   R-TD |   R-Dr |   R-Hi |   N-Tu |   N-TD |   N-Dr |   N-Hi |   FairShip |
|--------------|--------|--------|--------|--------|--------|--------|--------|--------|------------|
| acceptance % | 13.959 | 43.542 | 48.096 | 51.837 | 17.542 | 49.115 | 53.387 | 57.336 |     20.282 |
